name,gender,country,nationality,disciplines,events,age,has_a_coach,won_a_medal,medal_count
ORTIZ Carlos,Male,Mexico,Mexico,['Golf'],"[""Men's Individual Stroke Play""]",33,No,No,0
MADAYE Israel,Male,Chad,Chad,['Archery'],"[""Men's Individual""]",36,No,No,0
EL MOSTAFA Faid,Male,Morocco,Morocco,['Athletics'],"[""Men's 3000m Steeplechase""]",24,No,No,0
HENNESSY Brisa,Female,Costa Rica,Costa Rica,['Surfing'],['Women'],25,Yes,No,0
TEH Xiu Hong,Female,Singapore,Singapore,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women']",30,Yes,No,0
LOBNIG Magdalena,Female,Austria,Austria,['Rowing'],"[""Women's Single Sculls""]",34,Yes,No,0
ALTENHUBER Louisa,Female,Austria,Austria,['Rowing'],"[""Lightweight Women's Double Sculls""]",29,Yes,No,0
TIEFENTHALER Lara,Female,Austria,Austria,['Rowing'],"[""Lightweight Women's Double Sculls""]",25,Yes,No,0
HAUSER Julia,Female,Austria,Austria,['Triathlon'],"[""Women's Individual""]",30,No,No,0
KAINDL Tjebbe,Male,Austria,Austria,['Triathlon'],"[""Men's Individual""]",25,Yes,No,0
KNABL Alois,Male,Austria,Austria,['Triathlon'],"[""Men's Individual""]",32,No,No,0
PERTERER Lisa,Female,Austria,Austria,['Triathlon'],"[""Women's Individual""]",33,Yes,No,0
HUSSEIN ALI,Male,Iraq,Iraq,['Football'],['Men'],22,Yes,No,0
ANDRODIAS Matthieu,Male,France,France,['Rowing'],"[""Men's Double Sculls""]",34,Yes,No,0
BEUREY Hugo,Male,France,France,['Rowing'],"[""Lightweight Men's Double Sculls""]",26,No,No,0
BOUCHERON Hugo,Male,France,France,['Rowing'],"[""Men's Double Sculls""]",31,Yes,No,0
BOVE Claire,Female,France,France,['Rowing'],"[""Lightweight Women's Double Sculls""]",26,No,No,0
BRUNET Benoit,Male,France,France,['Rowing'],"[""Men's Four""]",33,Yes,No,0
LUDWIG Ferdinand,Male,France,France,['Rowing'],"[""Lightweight Men's Double Sculls""]",24,No,No,0
LUNATTI Emma,Female,France,France,['Rowing'],"[""Women's Double Sculls""]",26,No,No,0
RAVERA SCARAMOZZINO Elodie,Female,France,France,['Rowing'],"[""Women's Double Sculls""]",29,No,No,0
RAYET Teo,Male,France,France,['Rowing'],"[""Men's Four""]",25,Yes,No,0
TARANTOLA Laura,Female,France,France,['Rowing'],"[""Lightweight Women's Double Sculls""]",30,No,No,0
TURLAN Guillaume,Male,France,France,['Rowing'],"[""Men's Four""]",28,Yes,No,0
TURLAN Thibaud,Male,France,France,['Rowing'],"[""Men's Four""]",28,Yes,No,0
ZVEREV Alexander,Male,Germany,Germany,['Tennis'],"[""Men's Singles"", 'Mixed Doubles']",27,Yes,No,0
MARTERER Maximilian,Male,Germany,Germany,['Tennis'],"[""Men's Singles""]",29,Yes,No,0
STRUFF Jan-Lennard,Male,Germany,Germany,['Tennis'],"[""Men's Doubles"", ""Men's Singles""]",34,Yes,No,0
KERBER Angelique,Female,Germany,Germany,['Tennis'],"[""Women's Doubles"", ""Women's Singles""]",36,Yes,No,0
SIEGEMUND Laura,Female,Germany,Germany,['Tennis'],"[""Women's Doubles"", ""Women's Singles"", 'Mixed Doubles']",36,Yes,No,0
MARIA Tatjana,Female,Germany,Germany,['Tennis'],"[""Women's Doubles"", ""Women's Singles""]",37,Yes,No,0
PUETZ Tim,Male,Germany,Germany,['Tennis'],"[""Men's Doubles""]",37,Yes,No,0
KORPATSCH Tamara,Female,Germany,Germany,['Tennis'],"[""Women's Doubles"", ""Women's Singles""]",29,Yes,No,0
KRAWIETZ Kevin,Male,Germany,Germany,['Tennis'],"[""Men's Doubles""]",32,Yes,No,0
KOEPFER Dominik,Male,Germany,Germany,['Tennis'],"[""Men's Doubles"", ""Men's Singles""]",30,Yes,No,0
GAMBARO Barbara,Female,Italy,Italy,['Shooting'],"['10m Air Rifle Women', '50m Rifle 3 Positions Women', '10m Air Rifle Mixed Team']",32,Yes,No,0
SOUDI Mathis,Male,Morocco,Morocco,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",25,No,No,0
ELKORD Houssam,Male,Morocco,France,['Fencing'],"[""Men's Ã‰pÃ©e Individual""]",31,No,No,0
KONINI Manjola,Female,Albania,Albania,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women']",49,Yes,No,0
LINDEMANN Laura,Female,Germany,Germany,['Triathlon'],"[""Women's Individual""]",28,Yes,Yes,1
LUEHRS Lasse,Male,Germany,Germany,['Triathlon'],"[""Men's Individual""]",28,Yes,Yes,1
SCHOMBURG Jonas,Male,Germany,Germany,['Triathlon'],"[""Men's Individual""]",30,Yes,No,0
HELLWIG Tim,Male,Germany,Germany,['Triathlon'],"[""Men's Individual""]",25,Yes,Yes,1
EIM Nina,Female,Germany,Germany,['Triathlon'],"[""Women's Individual""]",26,Yes,No,0
TERTSCH Lisa,Female,Germany,Germany,['Triathlon'],"[""Women's Individual""]",26,Yes,Yes,1
ZAKARANI Youssra,Female,Morocco,Morocco,['Fencing'],"[""Women's Foil Individual""]",29,No,No,0
KOUMA Alexien,Male,Mali,Mali,['Swimming'],"[""Men's 100m Freestyle""]",19,No,No,0
THIELE Erik Sven,Male,Germany,Germany,['Wrestling'],"[""Men's Freestyle 97kg""]",28,Yes,No,0
NIEMESCH Luisa Helga Gerda,Female,Germany,Germany,['Wrestling'],"[""Women's Freestyle 62kg""]",29,Yes,No,0
PARUSZEWSKI Sandra,Female,Germany,Germany,['Wrestling'],"[""Women's Freestyle 57kg""]",31,No,No,0
WENDLE Annika,Female,Germany,Germany,['Wrestling'],"[""Women's Freestyle 53kg""]",27,Yes,No,0
